Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
2001,130794,Yale University,1,Main Campus,11136,0,0,0
2002,130794,Yale University,1,Main Campus,11378,1,5,1
2003,130794,Yale University,1,Main Campus,11471,0,1,0
2004,130794,Yale University,1,Main Campus,11441,0,0,0
2005,130794,Yale University,1,Main Campus,11483,0,3,0
2006,130794,Yale University,1,Main Campus,11415,0,0,0
2007,130794,Yale University,1,Main Campus,11454,0,0,9
2008,130794,Yale University,1,Main Campus,10192,0,1,12
2009,130794,Yale University,1,Main Campus,11593,0,6,4
2010,130794,Yale University,1,Main Campus,11701,0,3,15
2011,130794,Yale University,1,Main Campus,11875,0,2,2
2012,130794,Yale University,1,Main Campus,11906,0,2,8
2013,130794,Yale University,1,Main Campus,12109,0,6,12
2014,130794,Yale University,1,Main Campus,12336,0,5,0
2015,130794,Yale University,1,Main Campus,12385,0,1,3
2016,130794,Yale University,1,Main Campus,12458,1,1,0
2017,130794,Yale University,1,Main Campus,12974,0,1,0
