Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
2001,130794,Yale University,1,Main Campus,11136,1,4,0
2002,130794,Yale University,1,Main Campus,11378,2,6,0
2003,130794,Yale University,1,Main Campus,11471,1,0,0
2004,130794,Yale University,1,Main Campus,11441,1,5,3
2005,130794,Yale University,1,Main Campus,11483,2,2,0
2006,130794,Yale University,1,Main Campus,11415,2,3,3
2007,130794,Yale University,1,Main Campus,11454,0,13,21
2008,130794,Yale University,1,Main Campus,10192,8,15,39
2009,130794,Yale University,1,Main Campus,11593,2,12,52
2010,130794,Yale University,1,Main Campus,11701,1,28,54
2011,130794,Yale University,1,Main Campus,11875,8,35,21
2012,130794,Yale University,1,Main Campus,11906,7,54,52
2013,130794,Yale University,1,Main Campus,12109,2,31,20
2014,130794,Yale University,1,Main Campus,12336,1,25,8
2015,130794,Yale University,1,Main Campus,12385,6,32,4
2016,130794,Yale University,1,Main Campus,12458,4,26,4
2017,130794,Yale University,1,Main Campus,12974,3,16,1
