Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,130794,Yale University,1,Main Campus,11136,0,0,1,,,0,,,11,0,0,12,0
2002,130794,Yale University,1,Main Campus,11378,0,0,0,,,0,,,16,2,0,20,0
2003,130794,Yale University,1,Main Campus,11471,0,0,3,,,0,,,12,3,0,19,0
2004,130794,Yale University,1,Main Campus,11441,0,0,10,,,0,,,34,2,0,18,0
2005,130794,Yale University,1,Main Campus,11483,0,0,1,,,0,,,19,0,0,10,0
2006,130794,Yale University,1,Main Campus,11415,0,0,1,,,0,,,20,1,0,18,0
2007,130794,Yale University,1,Main Campus,11454,0,0,1,,,0,,,9,0,0,8,0
2008,130794,Yale University,1,Main Campus,10192,0,0,1,,,0,,,11,1,0,7,0
2009,130794,Yale University,1,Main Campus,11593,0,0,0,,,0,,,7,0,0,8,0
2010,130794,Yale University,1,Main Campus,11701,0,0,2,,,0,,,11,1,0,3,0
2011,130794,Yale University,1,Main Campus,11875,0,0,2,,,0,,,23,4,0,4,0
2012,130794,Yale University,1,Main Campus,11906,0,0,0,,,0,,,20,2,0,13,0
2013,130794,Yale University,1,Main Campus,12109,1,0,0,,,0,,,18,0,0,7,0
2014,130794,Yale University,1,Main Campus,12336,0,0,,0,1,,0,0,27,2,0,8,0
2015,130794,Yale University,1,Main Campus,12385,0,0,,0,3,,0,0,18,1,0,9,0
2016,130794,Yale University,1,Main Campus,12458,0,0,,1,0,,0,0,12,4,0,13,0
2017,130794,Yale University,1,Main Campus,12974,0,0,,0,2,,0,0,5,3,0,8,0
