Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
2001,130794,Yale University,1,Main Campus,11136,0,0,0
2002,130794,Yale University,1,Main Campus,11378,0,1,5
2003,130794,Yale University,1,Main Campus,11471,0,1,38
2004,130794,Yale University,1,Main Campus,11441,0,1,42
2005,130794,Yale University,1,Main Campus,11483,0,3,51
2006,130794,Yale University,1,Main Campus,11415,1,0,46
2007,130794,Yale University,1,Main Campus,11454,1,2,74
2008,130794,Yale University,1,Main Campus,10192,0,2,17
2009,130794,Yale University,1,Main Campus,11593,0,2,13
2010,130794,Yale University,1,Main Campus,11701,0,9,2
2011,130794,Yale University,1,Main Campus,11875,0,8,7
2012,130794,Yale University,1,Main Campus,11906,0,1,52
2013,130794,Yale University,1,Main Campus,12109,0,10,33
2014,130794,Yale University,1,Main Campus,12336,0,11,11
2015,130794,Yale University,1,Main Campus,12385,0,2,18
2016,130794,Yale University,1,Main Campus,12458,0,7,0
2017,130794,Yale University,1,Main Campus,12974,0,0,2
