Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
2001,130794,Yale University,1,Main Campus,11136,0,1,0
2002,130794,Yale University,1,Main Campus,11378,0,0,0
2003,130794,Yale University,1,Main Campus,11471,0,0,3
2004,130794,Yale University,1,Main Campus,11441,0,1,9
2005,130794,Yale University,1,Main Campus,11483,0,0,13
2006,130794,Yale University,1,Main Campus,11415,0,0,3
2007,130794,Yale University,1,Main Campus,11454,0,0,0
2008,130794,Yale University,1,Main Campus,10192,0,0,0
2009,130794,Yale University,1,Main Campus,11593,0,0,18
2010,130794,Yale University,1,Main Campus,11701,0,0,6
2011,130794,Yale University,1,Main Campus,11875,0,0,4
2012,130794,Yale University,1,Main Campus,11906,0,0,3
2013,130794,Yale University,1,Main Campus,12109,0,1,0
2014,130794,Yale University,1,Main Campus,12336,0,0,1
2015,130794,Yale University,1,Main Campus,12385,0,0,2
2016,130794,Yale University,1,Main Campus,12458,0,0,0
2017,130794,Yale University,1,Main Campus,12974,0,0,0
