Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
2008,130794,Yale University,1,Main Campus,10192,0,2,17
2009,130794,Yale University,1,Main Campus,11593,0,2,4
2010,130794,Yale University,1,Main Campus,11701,0,9,2
2011,130794,Yale University,1,Main Campus,11875,0,3,2
2012,130794,Yale University,1,Main Campus,11906,0,0,37
2013,130794,Yale University,1,Main Campus,12109,0,3,29
2014,130794,Yale University,1,Main Campus,12336,0,11,10
2015,130794,Yale University,1,Main Campus,12385,0,2,17
2016,130794,Yale University,1,Main Campus,12458,0,6,0
2017,130794,Yale University,1,Main Campus,12974,0,0,2
