Year,Institution,Campus,Institution Size,Category,Subcategory,Location,Number
2001,Yale University,Main Campus,11136,Arrests,Drug law violations,Noncampus,0
2001,Yale University,Main Campus,11136,Arrests,Drug law violations,On-campus non-student housing,3
2001,Yale University,Main Campus,11136,Arrests,Drug law violations,On-campus student housing,0
2001,Yale University,Main Campus,11136,Arrests,Drug law violations,Public property,4
2001,Yale University,Main Campus,11136,Arrests,Illegal weapons possession,Noncampus,0
2001,Yale University,Main Campus,11136,Arrests,Illegal weapons possession,On-campus non-student housing,1
2001,Yale University,Main Campus,11136,Arrests,Illegal weapons possession,On-campus student housing,0
2001,Yale University,Main Campus,11136,Arrests,Illegal weapons possession,Public property,1
2001,Yale University,Main Campus,11136,Arrests,Liquor law violations,Noncampus,0
2001,Yale University,Main Campus,11136,Arrests,Liquor law violations,On-campus non-student housing,2
2001,Yale University,Main Campus,11136,Arrests,Liquor law violations,On-campus student housing,0
2001,Yale University,Main Campus,11136,Arrests,Liquor law violations,Public property,0
2001,Yale University,Main Campus,11136,Criminal offenses,Aggravated assault,Noncampus,1
2001,Yale University,Main Campus,11136,Criminal offenses,Aggravated assault,On-campus non-student housing,0
2001,Yale University,Main Campus,11136,Criminal offenses,Aggravated assault,On-campus student housing,0
2001,Yale University,Main Campus,11136,Criminal offenses,Aggravated assault,Public property,0
2001,Yale University,Main Campus,11136,Criminal offenses,Arson,Noncampus,0
2001,Yale University,Main Campus,11136,Criminal offenses,Arson,On-campus non-student housing,0
2001,Yale University,Main Campus,11136,Criminal offenses,Arson,On-campus student housing,0
2001,Yale University,Main Campus,11136,Criminal offenses,Arson,Public property,0
2001,Yale University,Main Campus,11136,Criminal offenses,Burglary,Noncampus,1
2001,Yale University,Main Campus,11136,Criminal offenses,Burglary,On-campus non-student housing,38
2001,Yale University,Main Campus,11136,Criminal offenses,Burglary,On-campus student housing,27
2001,Yale University,Main Campus,11136,Criminal offenses,Burglary,Public property,0
2001,Yale University,Main Campus,11136,Criminal offenses,Fondling,Noncampus,0
2001,Yale University,Main Campus,11136,Criminal offenses,Fondling,On-campus non-student housing,0
2001,Yale University,Main Campus,11136,Criminal offenses,Fondling,On-campus student housing,0
2001,Yale University,Main Campus,11136,Criminal offenses,Fondling,Public property,0
2001,Yale University,Main Campus,11136,Criminal offenses,Incest,Noncampus,0
2001,Yale University,Main Campus,11136,Criminal offenses,Incest,On-campus non-student housing,0
2001,Yale University,Main Campus,11136,Criminal offenses,Incest,On-campus student housing,0
2001,Yale University,Main Campus,11136,Criminal offenses,Incest,Public property,0
2001,Yale University,Main Campus,11136,Criminal offenses,Motor vehicle theft,Noncampus,1
2001,Yale University,Main Campus,11136,Criminal offenses,Motor vehicle theft,On-campus non-student housing,4
2001,Yale University,Main Campus,11136,Criminal offenses,Motor vehicle theft,On-campus student housing,0
2001,Yale University,Main Campus,11136,Criminal offenses,Motor vehicle theft,Public property,12
2001,Yale University,Main Campus,11136,Criminal offenses,Murder/Non-negligent manslaughter,Noncampus,0
2001,Yale University,Main Campus,11136,Criminal offenses,Murder/Non-negligent manslaughter,On-campus non-student housing,0
2001,Yale University,Main Campus,11136,Criminal offenses,Murder/Non-negligent manslaughter,On-campus student housing,0
2001,Yale University,Main Campus,11136,Criminal offenses,Murder/Non-negligent manslaughter,Public property,0
2001,Yale University,Main Campus,11136,Criminal offenses,Negligent manslaughter,Noncampus,0
2001,Yale University,Main Campus,11136,Criminal offenses,Negligent manslaughter,On-campus non-student housing,0
2001,Yale University,Main Campus,11136,Criminal offenses,Negligent manslaughter,On-campus student housing,0
2001,Yale University,Main Campus,11136,Criminal offenses,Negligent manslaughter,Public property,0
2001,Yale University,Main Campus,11136,Criminal offenses,Rape,Noncampus,0
